,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,promedio final,aprobado/reprobado,desempeño,habitos,parental_lv_edu_ord,lunch_ord,test_preparation_ord,condiciones
29,female,group D,master's degree,standard,none,62,70,75,69.0,Reprobado,Bajo,Regulares,2,1,0,Regulares
30,female,group D,some college,standard,none,69,74,74,72.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
31,female,group B,some college,standard,none,63,65,61,63.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
32,female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,Reprobado,Bajo,Malos,2,0,0,Regulares
33,male,group D,some college,standard,none,40,42,38,40.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
34,male,group E,some college,standard,none,97,87,82,88.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
35,male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,Aprobado,Bajo,Buenos,1,1,1,Regulares
36,female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
37,female,group D,some high school,free/reduced,none,50,64,59,57.666666666666664,Reprobado,Bajo,Malos,0,0,0,Limitantes
38,female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,Aprobado,Bajo,Regulares,1,0,1,Regulares
39,male,group B,associate's degree,free/reduced,none,57,56,57,56.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
40,male,group C,associate's degree,free/reduced,none,55,61,54,56.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
41,female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,Reprobado,Bajo,Regulares,1,1,0,Regulares
42,female,group B,associate's degree,standard,none,53,58,65,58.666666666666664,Reprobado,Bajo,Regulares,1,1,0,Regulares
43,male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,Reprobado,Bajo,Regulares,1,0,1,Regulares
44,female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,Reprobado,Bajo,Malos,1,0,0,Regulares
45,male,group B,associate's degree,standard,none,65,54,57,58.666666666666664,Reprobado,Bajo,Regulares,1,1,0,Regulares
46,female,group A,associate's degree,standard,completed,55,65,62,60.666666666666664,Reprobado,Bajo,Buenos,1,1,1,Regulares
47,female,group C,high school,standard,none,66,71,76,71.0,Aprobado,Bajo,Regulares,0,1,0,Regulares
48,female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,Reprobado,Bajo,Regulares,1,0,1,Regulares
49,male,group C,high school,standard,completed,82,84,82,82.66666666666667,Aprobado,Bajo,Buenos,0,1,1,Regulares
50,male,group E,some college,standard,none,53,55,48,52.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
51,male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,Aprobado,Bajo,Regulares,1,0,1,Regulares
52,male,group C,some college,standard,none,53,44,42,46.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
53,male,group D,high school,standard,none,88,78,75,80.33333333333333,Aprobado,Bajo,Regulares,0,1,0,Regulares
54,female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,Aprobado,Bajo,Regulares,0,0,1,Regulares
55,female,group C,high school,free/reduced,none,33,41,43,39.0,Reprobado,Bajo,Malos,0,0,0,Limitantes
56,female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,Aprobado,Bajo,Buenos,1,1,1,Regulares
57,male,group D,associate's degree,standard,none,52,55,49,52.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
58,male,group D,some college,standard,completed,58,59,58,58.333333333333336,Reprobado,Bajo,Buenos,1,1,1,Regulares
59,female,group C,some high school,free/reduced,none,0,17,10,9.0,Reprobado,Bajo,Malos,0,0,0,Limitantes
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,Aprobado,Bajo,Regulares,2,0,1,Regulares
61,male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
62,male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,Reprobado,Bajo,Malos,1,0,0,Regulares
63,female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
64,female,group D,some high school,standard,none,59,58,59,58.666666666666664,Reprobado,Bajo,Regulares,0,1,0,Regulares
65,male,group B,some high school,standard,none,67,64,61,64.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
66,male,group D,some high school,free/reduced,none,45,37,37,39.666666666666664,Reprobado,Bajo,Malos,0,0,0,Limitantes
67,female,group C,some college,standard,none,60,72,74,68.66666666666667,Reprobado,Bajo,Regulares,1,1,0,Regulares
68,male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,Reprobado,Bajo,Malos,1,0,0,Regulares
69,female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
70,female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,Reprobado,Bajo,Regulares,1,0,1,Regulares
71,male,group D,some college,standard,completed,63,55,63,60.333333333333336,Reprobado,Bajo,Buenos,1,1,1,Regulares
72,female,group A,associate's degree,free/reduced,none,41,51,48,46.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
73,male,group C,some high school,free/reduced,none,61,57,56,58.0,Reprobado,Bajo,Malos,0,0,0,Limitantes
74,male,group C,some high school,standard,none,49,49,41,46.333333333333336,Reprobado,Bajo,Regulares,0,1,0,Regulares
75,male,group B,associate's degree,free/reduced,none,44,41,38,41.0,Reprobado,Bajo,Malos,1,0,0,Regulares
76,male,group E,some high school,standard,none,30,26,22,26.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
77,male,group A,bachelor's degree,standard,completed,80,78,81,79.66666666666667,Aprobado,Bajo,Buenos,2,1,1,Optimas
78,female,group D,some high school,standard,completed,61,74,72,69.0,Reprobado,Bajo,Buenos,0,1,1,Regulares
79,female,group E,master's degree,standard,none,62,68,68,66.0,Reprobado,Bajo,Regulares,2,1,0,Regulares
80,female,group B,associate's degree,standard,none,47,49,50,48.666666666666664,Reprobado,Bajo,Regulares,1,1,0,Regulares
81,male,group B,high school,free/reduced,none,49,45,45,46.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
82,male,group A,some college,free/reduced,completed,50,47,54,50.333333333333336,Reprobado,Bajo,Regulares,1,0,1,Regulares
83,male,group E,associate's degree,standard,none,72,64,63,66.33333333333333,Reprobado,Bajo,Regulares,1,1,0,Regulares
84,male,group D,high school,free/reduced,none,42,39,34,38.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
85,female,group C,some college,standard,none,73,80,82,78.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
86,female,group C,some college,free/reduced,none,76,83,88,82.33333333333333,Aprobado,Bajo,Malos,1,0,0,Regulares
87,female,group D,associate's degree,standard,none,71,71,74,72.0,Aprobado,Bajo,Regulares,1,1,0,Regulares
88,female,group A,some college,standard,none,58,70,67,65.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
89,female,group D,some high school,standard,none,73,86,82,80.33333333333333,Aprobado,Bajo,Regulares,0,1,0,Regulares
90,female,group C,bachelor's degree,standard,none,65,72,74,70.33333333333333,Aprobado,Bajo,Regulares,2,1,0,Regulares
91,male,group C,high school,free/reduced,none,27,34,36,32.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
92,male,group C,high school,standard,none,71,79,71,73.66666666666667,Aprobado,Bajo,Regulares,0,1,0,Regulares
93,male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,Reprobado,Bajo,Regulares,1,0,1,Regulares
94,female,group B,some college,standard,none,79,86,92,85.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
95,male,group C,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,Aprobado,Bajo,Regulares,1,0,1,Regulares
96,male,group B,some high school,standard,completed,65,66,62,64.33333333333333,Reprobado,Bajo,Buenos,0,1,1,Regulares
97,female,group E,some college,standard,completed,63,72,70,68.33333333333333,Reprobado,Bajo,Buenos,1,1,1,Regulares
98,female,group D,some college,free/reduced,none,58,67,62,62.333333333333336,Reprobado,Bajo,Malos,1,0,0,Regulares
99,female,group D,bachelor's degree,standard,none,65,67,62,64.66666666666667,Reprobado,Bajo,Regulares,2,1,0,Regulares
100,male,group B,some college,standard,none,79,67,67,71.0,Aprobado,Bajo,Regulares,1,1,0,Regulares
101,male,group D,bachelor's degree,standard,completed,68,74,74,72.0,Aprobado,Bajo,Buenos,2,1,1,Optimas
102,female,group D,associate's degree,standard,none,85,91,89,88.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
103,male,group B,high school,standard,completed,60,44,47,50.333333333333336,Reprobado,Bajo,Buenos,0,1,1,Regulares
104,male,group C,some college,standard,completed,98,86,90,91.33333333333333,Aprobado,Alto,Buenos,1,1,1,Regulares
105,female,group C,some college,standard,none,58,67,72,65.66666666666667,Reprobado,Bajo,Regulares,1,1,0,Regulares
106,female,group D,master's degree,standard,none,87,100,100,95.66666666666667,Aprobado,Alto,Regulares,2,1,0,Regulares
107,male,group E,associate's degree,standard,completed,66,63,64,64.33333333333333,Reprobado,Bajo,Buenos,1,1,1,Regulares
108,female,group B,associate's degree,free/reduced,none,52,76,70,66.0,Reprobado,Bajo,Malos,1,0,0,Regulares
109,female,group B,some high school,standard,none,70,64,72,68.66666666666667,Reprobado,Bajo,Regulares,0,1,0,Regulares
110,female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,Aprobado,Bajo,Regulares,1,0,1,Regulares
111,male,group C,high school,standard,none,62,55,49,55.333333333333336,Reprobado,Bajo,Regulares,0,1,0,Regulares
112,male,group A,associate's degree,standard,none,54,53,47,51.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
113,female,group D,some college,standard,none,51,58,54,54.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
114,female,group E,bachelor's degree,standard,completed,99,100,100,99.66666666666667,Aprobado,Alto,Buenos,2,1,1,Optimas
115,male,group C,high school,standard,none,84,77,74,78.33333333333333,Aprobado,Bajo,Regulares,0,1,0,Regulares
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,Aprobado,Bajo,Malos,2,0,0,Regulares
117,female,group D,bachelor's degree,standard,none,78,82,79,79.66666666666667,Aprobado,Bajo,Regulares,2,1,0,Regulares
118,female,group D,some high school,standard,none,51,63,61,58.333333333333336,Reprobado,Bajo,Regulares,0,1,0,Regulares
119,female,group C,some college,standard,none,55,69,65,63.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
120,female,group C,bachelor's degree,standard,completed,79,92,89,86.66666666666667,Aprobado,Bajo,Buenos,2,1,1,Optimas
121,male,group B,associate's degree,standard,completed,91,89,92,90.66666666666667,Aprobado,Alto,Buenos,1,1,1,Regulares
122,female,group C,some college,standard,completed,88,93,93,91.33333333333333,Aprobado,Alto,Buenos,1,1,1,Regulares
123,male,group D,high school,free/reduced,none,63,57,56,58.666666666666664,Reprobado,Bajo,Malos,0,0,0,Limitantes
124,male,group E,some college,standard,none,83,80,73,78.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
125,female,group B,high school,standard,none,87,95,86,89.33333333333333,Aprobado,Bajo,Regulares,0,1,0,Regulares
126,male,group B,some high school,standard,none,72,68,67,69.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
127,male,group D,some college,standard,completed,65,77,74,72.0,Aprobado,Bajo,Buenos,1,1,1,Regulares
128,male,group D,master's degree,standard,none,82,82,74,79.33333333333333,Aprobado,Bajo,Regulares,2,1,0,Regulares
129,female,group A,bachelor's degree,standard,none,51,49,51,50.333333333333336,Reprobado,Bajo,Regulares,2,1,0,Regulares
130,male,group D,master's degree,standard,none,89,84,82,85.0,Aprobado,Bajo,Regulares,2,1,0,Regulares
131,male,group C,some high school,free/reduced,completed,53,37,40,43.333333333333336,Reprobado,Bajo,Regulares,0,0,1,Regulares
132,male,group E,some college,free/reduced,completed,87,74,70,77.0,Aprobado,Bajo,Regulares,1,0,1,Regulares
133,female,group C,some college,standard,completed,75,81,84,80.0,Aprobado,Bajo,Buenos,1,1,1,Regulares
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,Aprobado,Bajo,Regulares,2,0,1,Regulares
135,male,group C,bachelor's degree,standard,none,58,55,48,53.666666666666664,Reprobado,Bajo,Regulares,2,1,0,Regulares
136,male,group B,some high school,standard,completed,51,54,41,48.666666666666664,Reprobado,Bajo,Buenos,0,1,1,Regulares
137,male,group E,high school,standard,none,70,55,56,60.333333333333336,Reprobado,Bajo,Regulares,0,1,0,Regulares
138,female,group C,associate's degree,standard,none,59,66,67,64.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
139,male,group D,some college,standard,completed,71,61,69,67.0,Reprobado,Bajo,Buenos,1,1,1,Regulares
140,female,group D,some high school,standard,none,76,72,71,73.0,Aprobado,Bajo,Regulares,0,1,0,Regulares
141,female,group C,some college,free/reduced,none,59,62,64,61.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
142,female,group E,some college,free/reduced,completed,42,55,54,50.333333333333336,Reprobado,Bajo,Regulares,1,0,1,Regulares
143,male,group A,high school,standard,none,57,43,47,49.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
144,male,group D,some college,standard,none,88,73,78,79.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
145,female,group C,some college,free/reduced,none,22,39,33,31.333333333333332,Reprobado,Bajo,Malos,1,0,0,Regulares
146,male,group B,some high school,standard,none,88,84,75,82.33333333333333,Aprobado,Bajo,Regulares,0,1,0,Regulares
147,male,group C,associate's degree,free/reduced,none,73,68,66,69.0,Reprobado,Bajo,Malos,1,0,0,Regulares
148,female,group D,bachelor's degree,standard,completed,68,75,81,74.66666666666667,Aprobado,Bajo,Buenos,2,1,1,Optimas
149,male,group E,associate's degree,free/reduced,completed,100,100,93,97.66666666666667,Aprobado,Alto,Regulares,1,0,1,Regulares
150,male,group A,some high school,standard,completed,62,67,69,66.0,Reprobado,Bajo,Buenos,0,1,1,Regulares
151,male,group A,bachelor's degree,standard,none,77,67,68,70.66666666666667,Aprobado,Bajo,Regulares,2,1,0,Regulares
152,female,group B,associate's degree,standard,completed,59,70,66,65.0,Reprobado,Bajo,Buenos,1,1,1,Regulares
153,male,group D,bachelor's degree,standard,none,54,49,47,50.0,Reprobado,Bajo,Regulares,2,1,0,Regulares
154,male,group D,some high school,standard,none,62,67,61,63.333333333333336,Reprobado,Bajo,Regulares,0,1,0,Regulares
155,female,group C,some college,standard,completed,70,89,88,82.33333333333333,Aprobado,Bajo,Buenos,1,1,1,Regulares
156,female,group E,high school,free/reduced,completed,66,74,78,72.66666666666667,Aprobado,Bajo,Regulares,0,0,1,Regulares
157,male,group B,some college,free/reduced,none,60,60,60,60.0,Reprobado,Bajo,Malos,1,0,0,Regulares
158,female,group B,associate's degree,standard,completed,61,86,87,78.0,Aprobado,Bajo,Buenos,1,1,1,Regulares
159,male,group D,associate's degree,free/reduced,none,66,62,64,64.0,Reprobado,Bajo,Malos,1,0,0,Regulares
160,male,group B,associate's degree,free/reduced,completed,82,78,74,78.0,Aprobado,Bajo,Regulares,1,0,1,Regulares
161,female,group E,some college,free/reduced,completed,75,88,85,82.66666666666667,Aprobado,Bajo,Regulares,1,0,1,Regulares
162,male,group B,master's degree,free/reduced,none,49,53,52,51.333333333333336,Reprobado,Bajo,Malos,2,0,0,Regulares
163,male,group C,high school,standard,none,52,53,49,51.333333333333336,Reprobado,Bajo,Regulares,0,1,0,Regulares
164,female,group E,master's degree,standard,none,81,92,91,88.0,Aprobado,Bajo,Regulares,2,1,0,Regulares
165,female,group C,bachelor's degree,standard,completed,96,100,100,98.66666666666667,Aprobado,Alto,Buenos,2,1,1,Optimas
166,male,group C,high school,free/reduced,completed,53,51,51,51.666666666666664,Reprobado,Bajo,Regulares,0,0,1,Regulares
167,female,group B,master's degree,free/reduced,completed,58,76,78,70.66666666666667,Aprobado,Bajo,Regulares,2,0,1,Regulares
168,female,group B,high school,standard,completed,68,83,78,76.33333333333333,Aprobado,Bajo,Buenos,0,1,1,Regulares
169,female,group C,some college,free/reduced,completed,67,75,70,70.66666666666667,Aprobado,Bajo,Regulares,1,0,1,Regulares
170,male,group A,high school,standard,completed,72,73,74,73.0,Aprobado,Bajo,Buenos,0,1,1,Regulares
171,male,group E,some high school,standard,none,94,88,78,86.66666666666667,Aprobado,Bajo,Regulares,0,1,0,Regulares
172,female,group D,some college,standard,none,79,86,81,82.0,Aprobado,Bajo,Regulares,1,1,0,Regulares
173,female,group C,associate's degree,standard,none,63,67,70,66.66666666666667,Reprobado,Bajo,Regulares,1,1,0,Regulares
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,49.333333333333336,Reprobado,Bajo,Regulares,2,0,1,Regulares
175,female,group C,master's degree,standard,completed,81,91,87,86.33333333333333,Aprobado,Bajo,Buenos,2,1,1,Optimas
176,female,group B,high school,free/reduced,completed,46,54,58,52.666666666666664,Reprobado,Bajo,Regulares,0,0,1,Regulares
177,female,group C,associate's degree,standard,completed,71,77,77,75.0,Aprobado,Bajo,Buenos,1,1,1,Regulares
178,female,group B,master's degree,free/reduced,completed,52,70,62,61.333333333333336,Reprobado,Bajo,Regulares,2,0,1,Regulares
179,female,group D,some high school,standard,completed,97,100,100,99.0,Aprobado,Alto,Buenos,0,1,1,Regulares
180,male,group C,master's degree,free/reduced,completed,62,68,75,68.33333333333333,Reprobado,Bajo,Regulares,2,0,1,Regulares
181,female,group C,some college,free/reduced,none,46,64,66,58.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
182,female,group E,high school,standard,none,50,50,47,49.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
183,female,group D,associate's degree,standard,none,65,69,70,68.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
184,male,group C,some high school,free/reduced,completed,45,52,49,48.666666666666664,Reprobado,Bajo,Regulares,0,0,1,Regulares
185,male,group C,associate's degree,free/reduced,completed,65,67,65,65.66666666666667,Reprobado,Bajo,Regulares,1,0,1,Regulares
186,male,group E,high school,standard,none,80,76,65,73.66666666666667,Aprobado,Bajo,Regulares,0,1,0,Regulares
187,male,group D,some high school,standard,completed,62,66,68,65.33333333333333,Reprobado,Bajo,Buenos,0,1,1,Regulares
188,male,group B,some high school,free/reduced,none,48,52,45,48.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
189,female,group C,bachelor's degree,standard,none,77,88,87,84.0,Aprobado,Bajo,Regulares,2,1,0,Regulares
190,female,group E,associate's degree,standard,none,66,65,69,66.66666666666667,Reprobado,Bajo,Regulares,1,1,0,Regulares
191,male,group D,some college,standard,completed,76,83,79,79.33333333333333,Aprobado,Bajo,Buenos,1,1,1,Regulares
192,female,group B,some high school,standard,none,62,64,66,64.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
193,male,group D,some college,standard,completed,77,62,62,67.0,Reprobado,Bajo,Buenos,1,1,1,Regulares
194,female,group C,master's degree,standard,completed,69,84,85,79.33333333333333,Aprobado,Bajo,Buenos,2,1,1,Optimas
195,male,group D,associate's degree,standard,none,61,55,52,56.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
196,male,group C,some high school,free/reduced,completed,59,69,65,64.33333333333333,Reprobado,Bajo,Regulares,0,0,1,Regulares
197,male,group E,high school,free/reduced,none,55,56,51,54.0,Reprobado,Bajo,Malos,0,0,0,Limitantes
198,female,group B,some college,free/reduced,none,45,53,55,51.0,Reprobado,Bajo,Malos,1,0,0,Regulares
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,77.66666666666667,Aprobado,Bajo,Malos,2,0,0,Regulares
200,female,group C,associate's degree,standard,completed,67,84,86,79.0,Aprobado,Bajo,Buenos,1,1,1,Regulares
201,female,group D,some college,free/reduced,none,65,81,77,74.33333333333333,Aprobado,Bajo,Malos,1,0,0,Regulares
202,male,group C,associate's degree,standard,none,69,77,69,71.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
203,female,group B,associate's degree,standard,none,57,69,68,64.66666666666667,Reprobado,Bajo,Regulares,1,1,0,Regulares
204,male,group C,some college,standard,none,59,41,42,47.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
205,male,group D,some high school,standard,completed,74,71,78,74.33333333333333,Aprobado,Bajo,Buenos,0,1,1,Regulares
206,male,group E,bachelor's degree,standard,none,82,62,62,68.66666666666667,Reprobado,Bajo,Regulares,2,1,0,Regulares
207,male,group E,high school,standard,completed,81,80,76,79.0,Aprobado,Bajo,Buenos,0,1,1,Regulares
208,female,group B,some college,free/reduced,none,74,81,76,77.0,Aprobado,Bajo,Malos,1,0,0,Regulares
209,female,group B,some college,free/reduced,none,58,61,66,61.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
210,male,group D,some high school,free/reduced,completed,80,79,79,79.33333333333333,Aprobado,Bajo,Regulares,0,0,1,Regulares
211,male,group C,some college,free/reduced,none,35,28,27,30.0,Reprobado,Bajo,Malos,1,0,0,Regulares
212,female,group C,high school,free/reduced,none,42,62,60,54.666666666666664,Reprobado,Bajo,Malos,0,0,0,Limitantes
213,male,group C,associate's degree,free/reduced,completed,60,51,56,55.666666666666664,Reprobado,Bajo,Regulares,1,0,1,Regulares
214,male,group E,high school,standard,completed,87,91,81,86.33333333333333,Aprobado,Bajo,Buenos,0,1,1,Regulares
215,male,group B,some high school,standard,completed,84,83,75,80.66666666666667,Aprobado,Bajo,Buenos,0,1,1,Regulares
216,female,group E,associate's degree,free/reduced,completed,83,86,88,85.66666666666667,Aprobado,Bajo,Regulares,1,0,1,Regulares
217,female,group C,high school,free/reduced,none,34,42,39,38.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
218,male,group B,high school,free/reduced,none,66,77,70,71.0,Aprobado,Bajo,Malos,0,0,0,Limitantes
219,male,group B,some high school,standard,completed,61,56,56,57.666666666666664,Reprobado,Bajo,Buenos,0,1,1,Regulares
220,female,group D,high school,standard,completed,56,68,74,66.0,Reprobado,Bajo,Buenos,0,1,1,Regulares
221,male,group B,associate's degree,standard,none,87,85,73,81.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
222,female,group C,some high school,free/reduced,none,55,65,62,60.666666666666664,Reprobado,Bajo,Malos,0,0,0,Limitantes
223,male,group D,some high school,standard,none,86,80,75,80.33333333333333,Aprobado,Bajo,Regulares,0,1,0,Regulares
224,female,group B,associate's degree,standard,completed,52,66,73,63.666666666666664,Reprobado,Bajo,Buenos,1,1,1,Regulares
225,female,group E,master's degree,free/reduced,none,45,56,54,51.666666666666664,Reprobado,Bajo,Malos,2,0,0,Regulares
226,female,group C,some college,standard,none,72,72,71,71.66666666666667,Aprobado,Bajo,Regulares,1,1,0,Regulares
227,male,group D,high school,standard,none,57,50,54,53.666666666666664,Reprobado,Bajo,Regulares,0,1,0,Regulares
228,male,group A,some high school,free/reduced,none,68,72,64,68.0,Reprobado,Bajo,Malos,0,0,0,Limitantes
229,female,group C,some college,standard,completed,88,95,94,92.33333333333333,Aprobado,Alto,Buenos,1,1,1,Regulares
230,male,group D,some college,standard,none,76,64,66,68.66666666666667,Reprobado,Bajo,Regulares,1,1,0,Regulares
231,male,group C,associate's degree,standard,none,46,43,42,43.666666666666664,Reprobado,Bajo,Regulares,1,1,0,Regulares
232,female,group B,bachelor's degree,standard,none,67,86,83,78.66666666666667,Aprobado,Bajo,Regulares,2,1,0,Regulares
233,male,group E,some high school,standard,none,92,87,78,85.66666666666667,Aprobado,Bajo,Regulares,0,1,0,Regulares
234,male,group C,bachelor's degree,standard,completed,83,82,84,83.0,Aprobado,Bajo,Buenos,2,1,1,Optimas
235,male,group D,associate's degree,standard,none,80,75,77,77.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,65.33333333333333,Reprobado,Bajo,Malos,2,0,0,Regulares
237,female,group D,some high school,standard,completed,64,60,74,66.0,Reprobado,Bajo,Buenos,0,1,1,Regulares
238,male,group B,some college,standard,none,54,52,51,52.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
